FAMILY	GENUS	SPECIES	NEWREF	REFERENCE
ANACARDIACEAE	Harpehyllum	caffrum	43	Viljoen, S. (1983)
ANACARDIACEAE	Pistacia	lentiscus	17	Herrera, C.M. (1987)
ANACARDIACEAE	Pistacia	lentiscus(r)	17	Herrera, C.M. (1987)
ANACARDIACEAE	Pistacia	palaestina	21	Izhaki, I. and U.N. Safriel (1989)
ANACARDIACEAE	Pistacia	terebinthus	17	Herrera, C.M. (1987)
ANACARDIACEAE	Pseudospondias	longifolia	41	Sourd, C. and A. Gauthier-Hion (1986)
ANACARDIACEAE	Pseudospondias	microcarpa	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
ANACARDIACEAE	Rhus	coriaria	17	Herrera, C.M. (1987)
ANACARDIACEAE	Rhus	longipes	8	Dowsett-Lemaire, F. (1988)
ANACARDIACEAE	Rhus	radicans	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
ANACARDIACEAE	Sclerocarya	caffra	43	Viljoen, S. (1983)
ANACARDIACEAE	Spondias	mombin	18	Hladik, A. and C.M. Hladik (1969)
ANACARDIACEAE	Spondias	purpurea	49	Herrera, C.M. and P. Jordano (unpubl. data)
ANACARDIACEAE	Tapirira	guianensis	39	Snow, D.W. (1962)
ANACARDIACEAE	Trichoscypha	acuminata	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
ANNONACEAE	Artabotrys	brachypetalus	43	Viljoen, S. (1983)
ANNONACEAE	Cananga	odorata	4	Crome, F.H.J. (1975)
ANNONACEAE	Crematosperma	poiteaui	9	Erard, C., M. Thery and D. Sabatier (1989)
ANNONACEAE	Desmopsis	bibracteata	49	Herrera, C.M. and P. Jordano (unpubl. data)
ANNONACEAE	Guatteria	amplifolia	48	Worthington, A.H. (1989)
ANNONACEAE	Guatteria	consanguinea	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
ANNONACEAE	Monanthotaxis	congensis	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
ANNONACEAE	Monodora	sp.	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
ANNONACEAE	Oxandra	asbeckii	2	Atramentowicz, M. (1988)
ANNONACEAE	Pachypodanthium	standtii	41	Sourd, C. and A. Gauthier-Hion (1986)
ANNONACEAE	Polyalthia	suaveolens	41	Sourd, C. and A. Gauthier-Hion (1986)
ANNONACEAE	Pseudoxandra	cuspidata	9	Erard, C., M. Thery and D. Sabatier (1989)
ANNONACEAE	Rauwenhoffia	leichardtii	4	Crome, F.H.J. (1975)
ANNONACEAE	Rollinia	exsucca	2	Atramentowicz, M. (1988)
ANNONACEAE	Unonopsis	pittieri	46	White, S.C. (1974)
ANNONACEAE	Unonopsis	rufescens	9	Erard, C., M. Thery and D. Sabatier (1989)
