cl	scl	ord	fam	gen	sp	ref	newref	famlab	genlab	splab	cod	dispcat	disp	area	fruit	leng	diam	frfm	pdm	sdm	seeds	seedm	ry	kjg	kjfr	pcw	lip	pro	nsc	ash	fib
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Harpehyllum	caffrum	36	43	ANACARDI	Harpehyl	caffrum	HCAF	Birds		Africa	Drupe1	22.2	10.6	1.1	NA	NA	1	NA	NA	13.6	NA	NA	0.02	0.06	0.72	0.07	0.14
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Pistacia	lentiscus	0	17	ANACARDI	Pistacia	lentiscu	PLEN	Birds		MEurope	Drupe1	5.2	5.3	0.1	0.03	0.03	1	0.03	28.3	30.01	0.87	46.8	0.59	0.06	0.26	0.03	0.08
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Pistacia	lentiscus(r)	0	17	ANACARDI	Pistacia	lentiscu	PLEN2	Birds	Small birds	MEurope	Drupe1	5.2	5.5	0.1	0.01	0.01	1	0.01	18.4	20.84	0.24	60.2	0.16	0.08	0.74	0.03	NA
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Pistacia	palaestina	68	21	ANACARDI	Pistacia	palaesti	PPAL	Birds	Small birds	MEurope	Drupe1	NA	NA	NA	NA	NA	NA	NA	NA	26.41	NA	43.8	0.58	0.07	0.12	NA	0.08
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Pistacia	terebinthus	0	17	ANACARDI	Pistacia	terebint	PTER	Birds	Small birds	MEurope	Drupe1	6.4	5.8	0.18	0.04	0.05	1	0.05	21.7	29.34	1.15	51.2	0.56	0.08	0.29	0.03	0.06
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Pseudospondias	longifolia	40	41	ANACARDI	Pseudosp	longifol	PLON	Mixed	Mixed	Africa	Drupe1	NA	NA	NA	NA	NA	NA	NA	NA	17.39	NA	74	0.05	0.04	0.89	0.03	NA
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Pseudospondias	microcarpa	75	35	ANACARDI	Pseudosp	microcar	PMIC	Mixed	Mixed	Africa	Drupe1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	75	0.01	0.08	0.44	NA	0.23
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Rhus	coriaria	0	17	ANACARDI	Rhus	coriaria	RCOR	Birds	Small birds	MEurope	Drupe1	5.2	4.8	0.02	0.01	0.01	1	0.01	49.8	24.82	0.26	8.5	0.37	0.05	0.37	0.02	0.18
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Rhus	longipes	61	8	ANACARDI	Rhus	longipes	RLON	Birds	Small birds	Africa	Drupe1	6.5	6.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Sapindales	ANACARDIACEAE	Rhus	radicans	37	22	ANACARDI	Rhus	radicans	RRAD	Birds	Small birds	NAmerica	Drupe1	NA	NA	0.03	0	NA	1	NA	3.6	29.93	0.03	66.7	NA	NA	NA	NA	NA
